st_date,VL
2022-05-01,2460000000000.0
2022-05-01,19100000000.0
2022-05-01,2460000000000.0
2022-05-01,2460000000000.0
2022-05-08,803418787457.6565
2022-05-08,7860000000000.0
2022-05-08,7860000000000.0
2022-05-08,1660000000000.0
2022-05-08,78600000000.0
2022-05-08,1362307307692.3079
2022-05-08,1610000000000.0
2022-05-08,2750000000000.0
2022-05-08,8552804642166.344
2022-05-08,1610000000000.0
2022-05-08,46878988695.21635
2022-05-08,288000000000.0
2022-05-08,9151735722.284435
2022-05-08,17500000000.0
2022-05-08,979739473569.3396
2022-05-08,1370000000000.0
2022-05-08,1253808353808.354
2022-05-08,2750000000000.0
2022-05-08,1367289881702.0046
2022-05-08,5767297182342.711
2022-05-08,2301046343975.283
2022-05-08,9340000000000.0
2022-05-08,1610000000000.0
2022-05-08,1370000000000.0
2022-05-08,1360000000000.0
2022-05-08,696000000.0
2022-05-15,793644836272.0403
2022-05-15,12700000000000.0
2022-05-15,12700000000000.0
2022-05-15,700000000000.0
2022-05-15,756000000000.0
2022-05-15,2993848846153.846
2022-05-15,5830000000000.0
2022-05-15,4600000000000.0
2022-05-15,7110000000.0
2022-05-15,12643740335747.895
2022-05-15,5830000000000.0
2022-05-15,71697276827.97795
2022-05-15,151000000000.0
2022-05-15,12346024636.058231
2022-05-15,113000000000.0
2022-05-15,367145602165.088
2022-05-15,2940000000000.0
2022-05-15,2738452088452.0884
2022-05-15,4600000000000.0
2022-05-15,2958970828085.9673
2022-05-15,9415533969772.48
2022-05-15,1905501544799.1763
2022-05-15,12600000000000.0
2022-05-15,5830000000000.0
2022-05-15,2940000000000.0
2022-05-15,3010000000000.0
2022-05-22,3538170329193.086
2022-05-22,15000000000000.0
2022-05-22,15000000000000.0
2022-05-22,1330000000000.0
2022-05-22,451000000000.0
2022-05-22,664504615384.6154
2022-05-22,3070000000000.0
2022-05-22,9843804403850.736
2022-05-22,147071337083.03168
2022-05-22,137000000000.0
2022-05-22,4056550951.8477044
2022-05-22,345000000000.0
2022-05-22,704227770745.1221
2022-05-22,2880000000000.0
2022-05-22,75429975429.97542
2022-05-22,3070000000000.0
2022-05-22,2099485930177.3438
2022-05-22,4066050135727.663
2022-05-22,1935156745623.069
2022-05-22,4140000000000.0
2022-05-22,2880000000000.0
2022-05-22,735000000000.0
2022-05-22,40500000000.0
2022-05-22,735000000000.0
2022-05-22,735000000000.0
2022-05-22,5790000000000.0
2022-05-29,2844219795014.3315
2022-05-29,7400000000000.0
2022-05-29,7400000000000.0
2022-05-29,1380000000000.0
2022-05-29,562000000000.0
2022-05-29,6189670403972.666
2022-05-29,398931001837.72345
2022-05-29,47000000000.0
2022-05-29,4752239641.657335
2022-05-29,316000000000.0
2022-05-29,430703671046.3137
2022-05-29,0.0
2022-05-29,4970168529442.548
2022-05-29,2122271884654.995
2022-05-29,4850000000000.0
2022-05-29,2346986923076.9233
2022-05-29,3200000000000.0
