sewershed,EW_stdate,lag,pcorr,pval,best_lag,best_corr,best_pval
Alexandria Renew,2023-03-26,0,0.0,0.008239768712338441,-2,0.7762237762237763,0.0029928636801859797
Alexandria Renew,2023-03-26,1,0.0,0.010245193941127854,-2,0.7762237762237763,0.0029928636801859797
Alexandria Renew,2023-03-26,2,0.0,0.008239768712338441,-2,0.7762237762237763,0.0029928636801859797
Alexandria Renew,2023-03-19,-2,0.7622377622377624,0.003950448972542651,-1,0.7902097902097903,0.0022231354099909208
Alexandria Renew,2023-03-19,-1,0.7902097902097903,0.0022231354099909208,-1,0.7902097902097903,0.0022231354099909208
Alexandria Renew,2023-03-19,0,0.0,0.0153173290532817,-1,0.7902097902097903,0.0022231354099909208
Alexandria Renew,2023-03-19,1,0.0,0.02831967129576002,-1,0.7902097902097903,0.0022231354099909208
Alexandria Renew,2023-03-19,2,0.0,0.010245193941127854,-1,0.7902097902097903,0.0022231354099909208
Alexandria Renew,2023-03-12,-2,0.8251748251748254,0.0009513628555555001,-2,0.8251748251748254,0.0009513628555555001
Alexandria Renew,2023-03-12,-1,0.0,0.001614768986069931,-2,0.8251748251748254,0.0009513628555555001
Alexandria Renew,2023-03-12,0,0.0,0.005801150474478243,-2,0.8251748251748254,0.0009513628555555001
Alexandria Renew,2023-03-12,1,0.0,0.030675895061640132,-2,0.8251748251748254,0.0009513628555555001
Alexandria Renew,2023-03-12,2,0.0,0.013905968814362752,-2,0.8251748251748254,0.0009513628555555001
Alexandria Renew,2023-03-05,-2,0.8272727272727273,0.001676973896452378,-2,0.8272727272727273,0.001676973896452378
Alexandria Renew,2023-03-05,-1,0.0,0.003746082953397406,-2,0.8272727272727273,0.001676973896452378
Alexandria Renew,2023-03-05,0,0.0,0.00845472888506156,-2,0.8272727272727273,0.001676973896452378
Alexandria Renew,2023-03-05,1,0.0,0.060419896215648305,-2,0.8272727272727273,0.001676973896452378
Alexandria Renew,2023-03-05,2,0.0,0.025984133918765504,-2,0.8272727272727273,0.001676973896452378
Alexandria Renew,2023-02-26,-2,0.7454545454545456,0.00845472888506156,-1,0.7545454545454545,0.00728204100842914
Alexandria Renew,2023-02-26,-1,0.7545454545454545,0.00728204100842914,-1,0.7545454545454545,0.00728204100842914
Alexandria Renew,2023-02-26,0,0.0,0.023313039833185972,-1,0.7545454545454545,0.00728204100842914
Alexandria Renew,2023-02-26,1,0.0,0.16014543725525882,-1,0.7545454545454545,0.00728204100842914
Alexandria Renew,2023-02-26,2,0.0,0.519248247554982,-1,0.7545454545454545,0.00728204100842914
Alexandria Renew,2023-02-19,-2,0.6727272727272727,0.023313039833185972,-2,0.6727272727272727,0.023313039833185972
Alexandria Renew,2023-02-19,-1,0.0,0.028864598957001886,-2,0.6727272727272727,0.023313039833185972
Alexandria Renew,2023-02-19,0,0.0,0.05100326070695074,-2,0.6727272727272727,0.023313039833185972
Alexandria Renew,2023-02-19,1,0.0,0.7495085962341482,-2,0.6727272727272727,0.023313039833185972
Alexandria Renew,2023-02-19,2,0.0,0.8734465775233149,-2,0.6727272727272727,0.023313039833185972
Alexandria Renew,2023-02-12,-2,0.0,0.07095173447637536,,,
Alexandria Renew,2023-02-12,-1,0.0,0.10973723224165641,,,
Alexandria Renew,2023-02-12,0,0.0,0.3550284397015071,,,
